case,expert_ranking,proxy,aggregation,spearman_mean_Uni1,spearman_std_Uni1,kendall_mean_Uni1,kendall_std_Uni1,n_Uni1,spearman_mean_Uni2,spearman_std_Uni2,kendall_mean_Uni2,kendall_std_Uni2,n_Uni2,delta_spearman,delta_kendall,abs_delta_spearman,abs_delta_kendall
CASE1_strict,1-5-7-6,log_time_syntaxBL,avg,0.2,0,0,0,4,0.2,0,0,0,4,0,0,0,0
CASE1_strict,1-5-7-6,log_time_syntaxBL,median,0.2,0,0,0,4,-0.1,0.3,-0.166666667,0.166666667,4,0.3,0.166666667,0.3,0.166666667
CASE1_strict,1-5-7-6,log_time_scaleSM,per_student,0.12972973,0.520324672,0.103603604,0.432103854,37,0.385714286,0.313635691,0.333333333,0.281718085,7,-0.255984556,-0.22972973,0.255984556,0.22972973
CASE1_strict,1-5-7-6,log_time_scaleSM,avg,0.4,0,0.333333333,0,4,0.8,0,0.666666667,0,4,-0.4,-0.333333333,0.4,0.333333333
CASE1_strict,1-5-7-6,log_time_scaleSM,median,0.6,0.282842712,0.5,0.319142369,4,0.8,0,0.666666667,0,4,-0.2,-0.166666667,0.2,0.166666667
CASE1_strict,1-5-7-6,log_time_scaleST,per_student,0.097297297,0.440200499,0.072072072,0.376766192,37,0.4,0.325137334,0.333333333,0.251976315,7,-0.302702703,-0.261261261,0.302702703,0.261261261
CASE1_strict,1-5-7-6,log_time_scaleST,avg,0.4,0,0.333333333,0,4,0.4,0,0.333333333,0,4,0,0,0,0
CASE1_strict,1-5-7-6,log_time_scaleST,median,-0.2,0.43204938,-0.166666667,0.319142369,4,0.3,0.1,0.166666667,0.166666667,4,-0.5,-0.333333333,0.5,0.333333333
CASE1_strict,1-5-7-6,acc_function,per_student,0.297297297,0.439586099,0.243243243,0.370849594,37,-0.142857143,0.292072119,-0.142857143,0.225876976,7,0.44015444,0.386100386,0.44015444,0.386100386
CASE1_strict,1-5-7-6,acc_function,avg,0.8,0,0.666666667,0,4,-0.3,0.3,-0.166666667,0.166666667,4,1.1,0.833333333,1.1,0.833333333
CASE1_strict,1-5-7-6,acc_function,median,0.4,0.282842712,0.333333333,0.23570226,4,-0.7,0.1,-0.5,0.166666667,4,1.1,0.833333333,1.1,0.833333333
CASE1_strict,1-5-7-6,acc_output,per_student,0.383783784,0.295473521,0.31981982,0.246227935,37,0.4,0.261861468,0.333333333,0.21821789,7,-0.016216216,-0.013513514,0.016216216,0.013513514
CASE1_strict,1-5-7-6,acc_output,avg,1,0,1,0,4,0.6,0.2,0.5,0.166666667,4,0.4,0.5,0.4,0.5
CASE1_strict,1-5-7-6,acc_output,median,0.6,0.282842712,0.5,0.319142369,4,0.6,0.282842712,0.5,0.319142369,4,0,0,0,0
CASE1_strict,1-5-7-6,acc_syntaxBL,per_student,0.016216216,0.188182651,0.013513514,0.156818876,37,0.057142857,0.09035079,0.047619048,0.075292325,7,-0.040926641,-0.034105534,0.040926641,0.034105534
CASE1_strict,1-5-7-6,acc_syntaxBL,avg,-0.2,0,0,0,4,0.2,0.43204938,0.166666667,0.319142369,4,-0.4,-0.166666667,0.4,0.166666667
CASE1_strict,1-5-7-6,acc_syntaxBL,median,0,0,0,0,4,0,0,0,0,4,0,0,0,0
CASE1_strict,1-5-7-6,scaleSM,per_student,0.543243243,0.239978085,0.459459459,0.236990026,37,0.585714286,0.155182578,0.5,0.15430335,7,-0.042471042,-0.040540541,0.042471042,0.040540541
CASE1_strict,1-5-7-6,scaleSM,avg,0.8,0,0.666666667,0,4,0.8,0,0.666666667,0,4,0,0,0,0
CASE1_strict,1-5-7-6,scaleSM,median,0.8,0,0.666666667,0,4,0.4,0.282842712,0.333333333,0.23570226,4,0.4,0.333333333,0.4,0.333333333
CASE1_strict,1-5-7-6,scaleST,per_student,0.540540541,0.186662666,0.45045045,0.185287962,37,0.428571429,0.197948664,0.357142857,0.16495722,7,0.111969112,0.093307593,0.111969112,0.093307593
