case,expert_ranking,proxy,aggregation,spearman_mean_Uni1,spearman_std_Uni1,kendall_mean_Uni1,kendall_std_Uni1,n_Uni1,spearman_mean_Uni2,spearman_std_Uni2,kendall_mean_Uni2,kendall_std_Uni2,n_Uni2,delta_spearman,abs_delta_spearman
strict,1-5-7-6,time_correct_function,median,0.3999999999999999,0.0,0.3333333333333334,0.0,4,0.7999999999999999,0.0,0.6666666666666669,0.0,4,-0.4,0.4
strict,1-5-7-6,time_correct_output,per_student,0.4216666666666667,0.6153160885990945,0.3777777777777778,0.5883645464388323,30,0.9285714285714286,0.1749635530559413,0.9047619047619048,0.2332847374079217,7,-0.506904761904762,0.506904761904762
strict,1-5-7-6,time_correct_output,avg,1.0,0.0,1.0,0.0,4,1.0,0.0,1.0,0.0,4,0.0,0.0
strict,1-5-7-6,time_correct_output,median,1.0,0.0,1.0,0.0,4,1.0,0.0,1.0,0.0,4,0.0,0.0
strict,1-5-7-6,time_correct_syntaxBL,per_student,-0.0114285714285714,0.50129627884483,-0.0238095238095238,0.3986940131225616,35,0.2571428571428571,0.2498979383505128,0.1666666666666667,0.199204768222399,7,-0.2685714285714285,0.2685714285714285
strict,1-5-7-6,time_correct_syntaxBL,avg,0.1999999999999999,0.0,0.0,0.0,4,0.3999999999999999,0.0,0.3333333333333334,0.0,4,-0.2,0.2
strict,1-5-7-6,time_correct_syntaxBL,median,0.1999999999999999,0.0,0.0,0.0,4,-0.1999999999999999,0.4320493798938573,-0.1666666666666667,0.3191423692521127,4,0.3999999999999998,0.3999999999999998
strict,1-5-7-6,log_time_correct_function,per_student,0.040625,0.7352122886452592,0.015625,0.6748963076218943,32,0.5428571428571428,0.4467570220317682,0.4761904761904763,0.4312088161017818,7,-0.5022321428571428,0.5022321428571428
strict,1-5-7-6,log_time_correct_function,avg,0.1999999999999999,0.0,0.0,0.0,4,1.0,0.0,1.0,0.0,4,-0.8,0.8
strict,1-5-7-6,log_time_correct_function,median,0.3999999999999999,0.0,0.3333333333333334,0.0,4,0.7999999999999999,0.0,0.6666666666666669,0.0,4,-0.4,0.4
strict,1-5-7-6,log_time_correct_output,per_student,0.4216666666666667,0.6153160885990945,0.3777777777777778,0.5883645464388323,30,0.9285714285714286,0.1749635530559413,0.9047619047619048,0.2332847374079217,7,-0.506904761904762,0.506904761904762
strict,1-5-7-6,log_time_correct_output,avg,1.0,0.0,1.0,0.0,4,1.0,0.0,1.0,0.0,4,0.0,0.0
strict,1-5-7-6,log_time_correct_output,median,1.0,0.0,1.0,0.0,4,1.0,0.0,1.0,0.0,4,0.0,0.0
strict,1-5-7-6,log_time_correct_syntaxBL,per_student,-0.0114285714285714,0.50129627884483,-0.0238095238095238,0.3986940131225616,35,0.2571428571428571,0.2498979383505128,0.1666666666666667,0.199204768222399,7,-0.2685714285714285,0.2685714285714285
strict,1-5-7-6,log_time_correct_syntaxBL,avg,0.1999999999999999,0.0,0.0,0.0,4,0.3999999999999999,0.0,0.3333333333333334,0.0,4,-0.2,0.2
strict,1-5-7-6,log_time_correct_syntaxBL,median,0.1999999999999999,0.0,0.0,0.0,4,-0.1999999999999999,0.4320493798938573,-0.1666666666666667,0.3191423692521127,4,0.3999999999999998,0.3999999999999998
strict,1-5-7-6,acc_function,per_student,0.2972972972972973,0.4493156877853172,0.2522522522522523,0.3867583411471295,37,-0.1142857142857143,0.4223355856884137,-0.1428571428571428,0.3499271061118826,7,0.4115830115830116,0.4115830115830116
strict,1-5-7-6,acc_function,avg,0.7999999999999999,0.0,0.6666666666666669,0.0,4,0.3999999999999999,0.0,0.3333333333333334,0.0,4,0.4,0.4
strict,1-5-7-6,acc_function,median,0.3999999999999999,0.282842712474619,0.3333333333333334,0.2357022603955159,4,-0.7999999999999999,0.1414213562373094,-0.6666666666666669,0.2357022603955158,4,1.1999999999999997,1.1999999999999997
strict,1-5-7-6,acc_output,per_student,0.3837837837837837,0.295473521485761,0.3198198198198198,0.2462279345714675,37,0.4,0.2618614682831908,0.3333333333333333,0.2182178902359924,7,-0.016216216216216328,0.016216216216216328
strict,1-5-7-6,acc_output,avg,1.0,0.0,1.0,0.0,4,0.6,0.1999999999999999,0.5000000000000001,0.1666666666666667,4,0.4,0.4
strict,1-5-7-6,acc_output,median,0.6,0.282842712474619,0.5000000000000001,0.3191423692521127,4,0.6,0.282842712474619,0.5000000000000001,0.3191423692521127,4,0.0,0.0
strict,1-5-7-6,acc_syntaxBL,per_student,0.0162162162162162,0.1881826506543698,0.0135135135135135,0.1568188755453082,37,0.0571428571428571,0.0903507902905251,0.0476190476190476,0.0752923252421042,7,-0.0409266409266409,0.0409266409266409
strict,1-5-7-6,acc_syntaxBL,avg,-0.1999999999999999,0.0,0.0,0.0,4,0.2,0.4320493798938573,0.1666666666666667,0.3191423692521127,4,-0.3999999999999999,0.3999999999999999
strict,1-5-7-6,acc_syntaxBL,median,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,4,0.0,0.0
strict,1-5-7-6,scaleSM,per_student,0.5432432432432432,0.2399780851937633,0.4594594594594595,0.2369900259092956,37,0.5857142857142856,0.1551825784457173,0.5000000000000001,0.1543033499620919,7,-0.042471042471042386,0.042471042471042386
